VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
1.0,300.0,300.0,50.0,5.2092e-13,46.44,1.0
1.0,300.0,300.0,50.1,4.44091e-14,47.19,1.0
1.0,300.0,300.0,50.2,3.89135e-13,23.52,1.0
1.0,300.0,300.0,50.300000000000004,2.74338e-13,48.864,1.0
1.0,300.0,300.0,50.400000000000006,4.89501e-13,77.346,1.0
1.0,300.0,300.0,50.50000000000001,2.69897e-13,105.012,1.0
1.0,300.0,300.0,50.60000000000001,3.57049e-13,67.788,1.0
1.0,300.0,300.0,50.70000000000001,3.60935e-13,130.164,1.0
1.0,300.0,300.0,50.80000000000001,1.87184e-13,37.956,1.0
1.0,300.0,300.0,50.90000000000001,2.08501e-13,177.126,1.0
1.0,300.0,300.0,51.000000000000014,4.31212e-13,119.706,1.0
1.0,300.0,300.0,51.100000000000016,5.0249e-13,25.932,1.0
1.0,300.0,300.0,51.20000000000002,3.71704e-13,56.244,1.0
1.0,300.0,300.0,51.30000000000002,3.92577e-13,98.586,1.0
1.0,300.0,300.0,51.40000000000002,4.24995e-13,67.182,1.0
1.0,300.0,300.0,51.50000000000002,3.55162e-13,118.038,1.0
1.0,300.0,300.0,51.60000000000002,2.3981e-13,100.896,1.0
1.0,300.0,300.0,51.700000000000024,3.81807e-13,52.488,1.0
1.0,300.0,300.0,51.800000000000026,3.07645e-13,71.916,1.0
1.0,300.0,300.0,51.90000000000003,4.30546e-13,104.19,1.0
1.0,300.0,300.0,52.00000000000003,1.12466e-13,135.168,1.0
