VgDC(V),VgAC(mV),VsAC(mV),f,A,P,direction
1.5,300.0,300.0,52.00000000000003,2.64013e-13,107.112,-1.0
1.5,300.0,300.0,51.90000000000003,3.63267e-13,76.518,-1.0
1.5,300.0,300.0,51.800000000000026,1.36558e-13,-151.11,-1.0
1.5,300.0,300.0,51.700000000000024,4.09674e-13,173.61,-1.0
1.5,300.0,300.0,51.60000000000002,2.10499e-13,96.618,-1.0
1.5,300.0,300.0,51.50000000000002,1.41332e-13,-1.134,-1.0
1.5,300.0,300.0,51.40000000000002,4.89945e-13,81.486,-1.0
1.5,300.0,300.0,51.30000000000002,4.6008e-13,139.404,-1.0
1.5,300.0,300.0,51.20000000000002,5.00936e-13,57.372,-1.0
1.5,300.0,300.0,51.100000000000016,5.06376e-13,81.378,-1.0
1.5,300.0,300.0,51.000000000000014,3.6582e-13,59.49,-1.0
1.5,300.0,300.0,50.90000000000001,2.91213e-13,64.326,-1.0
1.5,300.0,300.0,50.80000000000001,4.37763e-13,128.928,-1.0
1.5,300.0,300.0,50.70000000000001,3.71926e-13,79.884,-1.0
1.5,300.0,300.0,50.60000000000001,2.04726e-13,97.086,-1.0
1.5,300.0,300.0,50.50000000000001,5.01269e-13,69.666,-1.0
1.5,300.0,300.0,50.400000000000006,5.44568e-13,56.544,-1.0
1.5,300.0,300.0,50.300000000000004,9.7478e-14,-86.436,-1.0
1.5,300.0,300.0,50.2,2.33371e-13,105.354,-1.0
1.5,300.0,300.0,50.1,1.15686e-13,134.928,-1.0
1.5,300.0,300.0,50.0,3.53275e-13,150.234,-1.0
